time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1649693408.486,2836.655,3274.428,2310.502,3044.305,3033.274,3153.232,2722.125,2821.864,2786.474,2447.828,2659.900,3024.982,2963.867,3171.917,2888.881,3143.852,2559.729,3122.205,2586.444,2409.090,2921.326,3052.690,2884.099,3240.802,2794.053,2879.587,3115.911,2923.276,2731.151,3036.366,2595.709,2531.882,3033.004,2968.463,2437.781,3206.952,2987.573,2690.279,2133.724,3027.237,2449.923,2431.789,2978.683,3087.211,3033.290,3074.508,2757.833,3025.483,2461.645,3177.428,2590.685,2687.947,3033.311,3098.856,2964.727,3034.276,2645.044,2828.260,2958.595,2777.364,2821.507,3022.670,2839.385,3131.382
1649693409.501,2824.724,2804.720,2472.465,3146.698,3164.364,2997.794,2977.936,3047.108,2812.886,2770.086,2800.993,2846.914,2830.345,2858.645,2584.312,3044.697,2757.726,1899.799,2536.708,2426.046,3117.798,1899.866,3034.870,3352.827,2990.278,2617.178,1419.113,1828.656,3024.429,2806.699,1600.072,2828.904,3006.325,3040.885,2828.835,2207.879,3094.034,2637.205,2832.790,2850.431,2805.796,2827.769,2825.987,2965.410,3034.263,2377.302,2799.980,2811.004,2215.501,2716.616,2806.553,3035.264,2875.227,2807.444,2885.262,2811.116,2800.695,2893.536,2757.849,2808.350,2803.357,2411.110,2880.248,2527.788
1649693412.858,2851.391,3096.764,2726.499,3023.395,3054.671,2895.025,2859.892,3136.618,2429.400,2669.980,2641.425,3029.889,3032.370,3079.159,2866.415,2849.934,2537.702,2794.651,2507.101,2846.347,2897.109,3044.736,2824.231,3136.248,2967.408,2901.094,3107.639,2978.656,2854.048,3123.522,2842.458,2557.174,3054.922,3151.841,2526.626,3126.078,2973.103,3182.075,2963.388,3136.805,2912.109,2999.759,2963.768,3100.306,3055.521,3031.072,3036.461,3057.140,2384.619,3089.809,2634.929,2805.094,2973.112,3107.793,2904.116,2989.160,2821.200,2963.622,2945.647,2888.443,2841.858,2953.739,2760.940,2810.316
1649693413.875,2841.419,3081.446,2702.121,3071.555,3174.817,2810.044,2775.083,3018.297,2501.116,2910.597,2779.598,2240.765,3054.996,3113.966,3179.196,3149.324,2707.274,2869.731,2642.965,2760.190,2642.118,2698.874,2357.902,3123.114,2877.079,3015.371,2958.590,3006.292,3015.437,3054.710,3073.993,2758.514,3174.439,3143.642,2748.225,2940.971,3120.155,3144.665,3068.479,3040.448,3046.009,3138.620,2697.594,2648.928,3175.899,2819.449,3058.137,3127.529,2612.314,2203.982,2691.534,2893.560,2621.200,3036.685,2815.083,2968.767,3046.427,3101.702,2579.503,3069.100,2576.792,3013.520,3156.014,2742.081
1649693414.891,2803.693,2000.041,1662.048,2359.540,2296.295,3099.849,1777.700,2652.813,3164.753,2000.023,2912.108,3154.797,2802.150,3126.695,2704.113,2834.211,3107.626,2813.853,2913.057,2210.027,2674.705,2795.017,2827.767,2542.404,2838.381,2802.910,2875.396,2795.288,2831.303,2800.477,2455.800,2821.946,2979.427,3131.394,1386.181,2843.324,2722.373,3204.280,1766.396,3076.276,2801.724,2813.168,3158.712,1982.787,3062.426,3156.641,3020.212,2590.222,2803.450,1691.598,2851.659,3120.362,1501.911,3171.634,3057.535,2282.495,1839.275,3105.012,2765.546,2114.897,2801.791,2106.563,2992.941,2119.371
1649693418.464,3089.138,2785.508,2761.404,3053.331,2777.750,2990.429,2354.093,2976.134,2819.335,2774.459,2958.112,2977.935,2921.966,3022.412,2983.863,2973.496,3079.205,2927.986,3063.880,2817.569,2896.252,2723.641,3188.139,2933.354,3006.532,2940.003,3010.978,3007.445,2315.769,2848.037,2909.763,2917.450,3086.723,2764.387,2897.160,2983.141,1746.855,2928.926,2680.757,2848.881,2797.182,2975.442,2971.775,2956.704,3094.496,2937.408,2822.974,2857.742,2909.776,2941.013,2785.695,2799.899,2873.663,2875.784,2806.681,2936.326,2912.650,2854.247,2658.374,2998.997,2872.810,2984.390,2933.166,2872.884
1649693420.538,2977.871,3027.180,2834.074,3004.283,2867.498,3025.191,2847.098,2956.808,2555.375,2945.002,2905.032,2972.737,2869.256,3011.896,2863.061,3023.483,3007.152,3018.887,2928.355,2968.919,3065.829,2957.732,2915.257,2885.076,2937.417,3049.040,3015.959,2957.970,2897.647,2809.176,2984.624,2964.637,3007.419,3004.877,2500.282,2838.531,2736.495,2969.309,2946.388,2840.704,2821.364,2943.851,2914.827,2968.266,3007.231,2767.325,2946.763,3046.639,2955.567,2886.952,2924.248,2987.859,2788.064,2981.358,2872.513,2967.251,2926.459,3021.157,2854.081,2966.665,2772.206,3057.995,2878.268,2923.667
